uf,cnpj,razao_social,cep
SP,47372720000141,2PX - FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,04543000
SP,45908200000185,BRAFIC FI EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO RESPONSABILIDADE LIMITADA,04543000
SP,49651132000172,BAY HA LONG FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR,04543000
SP,19424677000185,VERUM FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,04543000
SP,50946637000143,A4 FUNDO DE INVESTIMENTO MULTIMERCADO ESTRATEGIA LIVRE CREDITO PRIVADO,04543000
MG,09720710000160,INTER CONSERVADOR PLUS FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO RESP LIMITADA,30190131
SP,45823709000125,INVESTO MEGA TRENDS CLASSE DE INVESTIMENTO ACOES RESPONSABILIDADE LIMITADA,04543011
SP,52317938000133,SZLEZ FUNDO DE INVESTIMENTO MULTIMERCADO RESPONSABILIDADE LIMITADA CREDITO PRIVADO IE,04543000
SP,44428806000150,JIVE DISTRESSED & SPECIAL SITS IV STRATEGIC PARTNERS FIC DE FIF MULTI - CP RESPONSABILIDADE LIMITADA,05410002
SP,49651212000128,BAY SIDNEY FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR,04543000
SP,46334681000125,SULAMERICA PRESTIGE XP SEG PREV FIF RENDA FIXA RESPONSABILIDADE LIMITADA,04543000
SP,47984249000142,SAM 3 FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO RESPONSABILIDADE LIMITADA,05410002
SP,47372648000152,PLN PAR - FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,04543000
SP,12124044000102,MAPFRE HEDGE PREV CLASSE DE INVESTIMENTO RENDA FIXA - RESPONSABILIDADE LIMITADA,04543011
SP,48993165000138,LAB OITO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,04538132
RJ,50443649000155,PRINZ DISCOVERY CREDITO ESTRUTURADO FUNDO DE INVESTIMENTO EM COTAS DE DIREITOS CREDITORIOS,22250911
SP,11147668000182,BNP PARIBAS ACCESS USA COMPANIES CLASSE DE INVESTIMENTO EM ACOES - RESPONSABILIDADE LIMITADA,04543011
SP,49914023000109,BULLLA FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,04538132
SP,09636393000107,BNP PARIBAS MATCH CLASSE DE INVESTIMENTO DE RENDA FIXA REFERENCIADA DI CP RESPONSABILIDADE LIMITADA,04543011
