TP_FUNDO,CNPJ_FUNDO,DENOM_SOCIAL,DT_REG,DT_CONST,CD_CVM,DT_CANCEL,SIT,DT_INI_SIT,DT_INI_ATIV,DT_INI_EXERC,DT_FIM_EXERC,CLASSE,DT_INI_CLASSE,RENTAB_FUNDO,CONDOM,FUNDO_COTAS,FUNDO_EXCLUSIVO,TRIB_LPRAZO,PUBLICO_ALVO,ENTID_INVEST,TAXA_PERFM,INF_TAXA_PERFM,TAXA_ADM,INF_TAXA_ADM,VL_PATRIM_LIQ,DT_PATRIM_LIQ,DIRETOR,CNPJ_ADMIN,ADMIN,PF_PJ_GESTOR,CPF_CNPJ_GESTOR,GESTOR,CNPJ_AUDITOR,AUDITOR,CNPJ_CUSTODIANTE,CUSTODIANTE,CNPJ_CONTROLADOR,CONTROLADOR,INVEST_CEMPR_EXTER,CLASSE_ANBIMA
FI,09528715000196,PLURIMAX GALAXY FUNDO DE INVESTIMENTO DE AÇÕES,2008-06-05,2008-04-24,109517,2011-10-05,CANCELADA,2011-10-05,2008-06-05,2021-10-01,2022-09-30,Ações,2008-04-24,Ibovespa,Aberto,N,N,null,null,null,20,null,2,null,0,2011-10-07,null,null,null,null,null,null,null,null,null,null,null,null,N,null
FI,09528767000162,XP ABSOLUTO BANCOS FUNDO DE INVESTIMENTO DE AÇÕES,2008-06-23,2007-04-24,110655,2016-11-21,CANCELADA,2016-11-21,2008-06-23,2021-10-01,2022-09-30,Ações,2007-04-24,Ibovespa,Aberto,N,N,null,null,null,20,null,2,null,0,2016-11-23,CARLOS ALBERTO SARAIVA,02.201.501/0001-61,BNY MELLON SERVICOS FINANCEIROS DTVM S.A.,PJ,07.625.200/0001-89,XP GESTÃO DE RECURSOS LTDA,57.755.217/0001-29,KPMG AUDITORES INDEPENDENTES LTDA.,60.746.948/0001-12,BANCO BRADESCO S.A.,02.201.501/0001-61,BNY MELLON SERVICOS FINANCEIROS DTVM S.A.,N,null
FI,09528770000186,ÁBACO CRESCIMENTO E RENDA FUNDO DE INVESTIMENTO DE AÇÕES,2009-03-02,2009-02-27,120413,2015-03-20,CANCELADA,2015-03-20,2009-03-02,2021-01-01,2021-12-31,Ações,2009-02-27,Ibovespa,Aberto,N,N,N,null,null,15,null,1.5,null,0.01,2015-06-02,null,null,null,null,null,null,null,null,null,null,null,null,N,null
FI,09528774000164,XP ABSOLUTO CONSUMO FUNDO DE INVESTIMENTO DE AÇÕES,2008-07-02,2008-04-24,111554,2016-11-21,CANCELADA,2016-11-21,2008-07-02,2021-07-01,2022-06-30,Ações,2008-04-24,Ibovespa,Aberto,N,N,null,null,null,20,null,2,null,0,2016-11-23,CARLOS ALBERTO SARAIVA,02.201.501/0001-61,BNY MELLON SERVICOS FINANCEIROS DTVM S.A.,PJ,07.625.200/0001-89,XP GESTÃO DE RECURSOS LTDA,57.755.217/0001-29,KPMG AUDITORES INDEPENDENTES LTDA.,60.746.948/0001-12,BANCO BRADESCO S.A.,02.201.501/0001-61,BNY MELLON SERVICOS FINANCEIROS DTVM S.A.,N,null
FI,09528778000142,ALOCAÇÃO MULTIMERCADO FI EM COTAS DE  FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,2008-06-03,2008-04-24,109266,2022-10-21,CANCELADA,2022-10-21,2008-06-03,2022-07-01,2023-06-30,Multimercado,2008-04-24,Não se aplica,Aberto,S,N,null,Qualificado,null,10,O fundo cobrara 10.00 % do que exceder 100.00 % o indice CDIE. A taxa de performance sera paga no(s) mes(es) de Janeiro e Julho,0.5,null,0,2022-11-22,ALLAN HADID,59.281.253/0001-23,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,PJ,60.451.242/0001-23,BTG PACTUAL WM GESTÃO DE RECURSOS LTDA,61.366.936/0001-25,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.,30.306.294/0001-45,BANCO BTG PACTUAL S/A,59.281.253/0001-23,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,N,null
FI,09528807000176,ACCESS EMPRESA FUNDO DE INVESTIMENTO EM AÇÕES,2008-06-12,2008-04-24,110019,2017-03-16,CANCELADA,2017-03-16,2008-06-12,2021-10-01,2022-09-30,Ações,2008-04-24,Ibovespa,Aberto,N,N,null,null,null,null,null,0.25,null,0,2017-03-28,null,null,null,null,null,null,null,null,null,null,null,null,N,null
FI,09528810000190,SINGULAR ECO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,2008-06-27,2008-04-24,111163,2015-01-05,CANCELADA,2015-01-05,2008-06-27,2021-07-01,2022-06-30,Multimercado,2008-04-24,DI de um dia,Aberto,S,S,S,null,null,10,null,null,"0,70",0,2015-01-12,null,null,null,null,null,null,null,null,null,null,null,null,N,null
FI,09528890000183,FUNDO DE INVESTIMENTO DE AÇÕES LAGO DI GARDA,2008-05-28,2007-11-26,108952,2011-09-23,CANCELADA,2011-09-23,2008-06-18,2021-04-01,2022-03-31,Ações,2008-06-06,OUTROS,Aberto,N,N,null,null,null,null,null,null,null,0,2011-12-27,null,null,null,null,null,null,null,null,null,null,null,null,N,null
FI,09529079000117,HSBC FICFI REFERENCIADO DI SMART FUNCIONÁRIO,2009-01-28,2009-01-26,119784,2010-10-27,CANCELADA,2010-10-27,2009-02-27,2021-01-01,2021-12-31,Referenciado,2010-10-27,DI de um dia,Aberto,S,N,S,null,null,null,null,null,null,0,2010-11-01,URBANO ARAÚJO DE MORAES,01.701.201/0001-89,KIRTON BANK S.A. - BANCO MÚLTIPLO,PJ,06.071.726/0001-00,AGORA GESTAO DE RECURSOS LTDA.,57.755.217/0001-29,KPMG AUDITORES INDEPENDENTES LTDA.,01.701.201/0001-89,KIRTON BANK S.A. - BANCO MÚLTIPLO,01.701.201/0001-89,KIRTON BANK S.A. - BANCO MÚLTIPLO,N,null
FI,09531722000147,CAMBARA - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,2008-07-21,2008-07-07,112666,2011-09-05,CANCELADA,2011-09-05,2008-08-04,2021-01-01,2021-12-31,Multimercado,2008-07-07,DI de um dia,Aberto,S,N,S,null,null,null,null,0.2,null,8983556.48,2011-09-02,ALLAN HADID,59.281.253/0001-23,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,PJ,03.017.677/0001-20,BANCO J. SAFRA S.A.,61.562.112/0001-20,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.,58.160.789/0001-28,BANCO SAFRA S/A,58.160.789/0001-28,BANCO SAFRA S/A,N,null
