documento,data_reg,taxa,valor,cidade
41953322000132,2021-06-07,4,173198449.67,Minas Gerais
37088071000106,2020-05-11,null,2536455.66,São Paulo
46929994000126,2022-10-24,null,36796854.17,São Paulo
44680388000194,2022-03-25,null,24838471.92,São Paulo
05754066000190,2005-01-14,0.04,6196621050.94,São Paulo
50275622000109,2023-04-11,null,13218021.43,São Paulo
44680435000108,2022-09-27,null,36780525.58,São Paulo
18929680000198,2013-09-25,null,41449354.35,São Paulo
26845868000186,2018-02-19,1.515,1265664.58,São Paulo
44108111000191,2022-10-06,null,278867473.82,São Paulo
47372720000141,2022-08-09,null,31600910.85,São Paulo
31570611000107,2018-10-03,null,676770665.27,São Paulo
48502650000161,2022-11-30,null,27423650.66,São Paulo
07939851000143,2006-08-16,0.042,2320518524.98,São Paulo
07144604000150,2004-11-16,null,1479388.51,Pará
45908200000185,2022-08-26,null,5335302.04,São Paulo
42860984000120,2021-08-30,null,9393138.14,São Paulo
44815107000163,2022-02-15,null,22086868.99,Rio de Janeiro
49651132000172,2023-02-17,null,42378672.17,São Paulo
01147641000136,2005-04-04,0.1775,540731408.76,São Paulo
51292131000120,2023-07-04,null,106238956.49,São Paulo
44680466000150,2022-02-24,null,63970359.26,São Paulo
19424677000185,2023-02-01,2500,12195157.85,São Paulo
33361923000128,2019-06-18,0.065,60779613.22,São Paulo
07965741000156,2006-06-27,0.7,79375338.18,São Paulo
45019002000160,2022-08-09,null,48112639.8,São Paulo
42081295000118,2021-06-11,0,589603423.1,Rio de Janeiro
14951577000193,2012-05-10,1,91101461.63,São Paulo
46778844000169,2022-12-09,null,185575837.49,São Paulo
46282024000181,2022-11-01,null,2668684.34,São Paulo
27938258000190,2017-07-11,null,10616736.87,São Paulo
35277363000153,2021-03-17,null,272389556.82,São Paulo
50818107000110,2023-05-25,null,0,São Paulo
46782474000133,2022-12-09,null,10548914.5,São Paulo
42923073000103,2021-10-15,null,20013715.35,Minas Gerais
15296704000120,2012-04-02,null,1013647919.99,São Paulo
33913576000107,2019-12-30,0.09,353821369.94,São Paulo
42922066000189,2021-12-17,null,3584748.74,São Paulo
49252656000190,2023-01-19,null,746226590.55,Rio de Janeiro
50946637000143,2023-06-05,null,16363182.91,São Paulo
41036490000163,2021-03-15,5,39012247.09,Minas Gerais
43616501000100,2021-09-27,null,497638474.52,Rio de Janeiro
44680449000113,2022-10-20,null,8440299.75,São Paulo
