CNPJ_FUNDO,SIT,DT_REG,TAXA_ADM,VL_PATRIM_LIQ,cnpj,uf,razao_social,sigla,nome
41953322000132,EM FUNCIONAMENTO NORMAL,2021-06-07,4,173198449.67,41953322000132,MG,INTER INFRA MASTER FIF INCENTIV DE INVESTIMENTO EM INFRA RENDA FIXA CRED PRIV RESP LIMITADA,MG,Minas Gerais
37088071000106,EM FUNCIONAMENTO NORMAL,2020-05-11,null,2536455.66,37088071000106,SP,MERU REAL ESTATE III FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA IE RESP LIMITADA,SP,São Paulo
46929994000126,EM FUNCIONAMENTO NORMAL,2022-10-24,null,36796854.17,46929994000126,SP,GRATIAM FLOW FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL RESPONSABILIDADE LIMITADA,SP,São Paulo
44680388000194,EM FUNCIONAMENTO NORMAL,2022-03-25,null,24838471.92,44680388000194,SP,ACELERA VAREJO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,SP,São Paulo
05754066000190,EM FUNCIONAMENTO NORMAL,2005-01-14,0.04,6196621050.94,05754066000190,SP,CLASSE UNICA DO AGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CREDITO PRIVADO LONGO PRAZO,SP,São Paulo
50275622000109,EM FUNCIONAMENTO NORMAL,2023-04-11,null,13218021.43,50275622000109,SP,ROHT FUNDO DE INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA,SP,São Paulo
44680435000108,EM FUNCIONAMENTO NORMAL,2022-09-27,null,36780525.58,44680435000108,SP,OCTO FUNDO DE INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA,SP,São Paulo
18929680000198,EM FUNCIONAMENTO NORMAL,2013-09-25,null,41449354.35,18929680000198,SP,BRIO REAL ESTATE FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA - RESPONSABILIDADE LIMITADA,SP,São Paulo
26845868000186,EM FUNCIONAMENTO NORMAL,2018-02-19,1.515,1265664.58,26845868000186,SP,BNP PARIBAS ACCESS DIVERSIFIED DYNAMIC CLASSE DE INVESTIMENTO MULTIMERCADO - RESP LIMITADA,SP,São Paulo
44108111000191,EM FUNCIONAMENTO NORMAL,2022-10-06,null,278867473.82,44108111000191,SP,PCS II HEALTHCARE FUNDO DE INVESTIMENTO EM PARTICIPACOES,SP,São Paulo
47372720000141,EM FUNCIONAMENTO NORMAL,2022-08-09,null,31600910.85,47372720000141,SP,2PX - FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,SP,São Paulo
31570611000107,EM FUNCIONAMENTO NORMAL,2018-10-03,null,676770665.27,31570611000107,SP,MONT BLANC BRASIL PARTNERS I H - FIP MULTIESTRATEGIA INVESTIMENTO NO EXTERIOR RESP LIMITADA,SP,São Paulo
48502650000161,EM FUNCIONAMENTO NORMAL,2022-11-30,null,27423650.66,48502650000161,SP,SILVERSTONE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS RESPONSABILIDADE LIMITADA,SP,São Paulo
07939851000143,EM FUNCIONAMENTO NORMAL,2006-08-16,0.042,2320518524.98,07939851000143,SP,CLASSE UNICA ICEBERG FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO LONGO PRAZO,SP,São Paulo
07144604000150,EM FUNCIONAMENTO NORMAL,2004-11-16,null,1479388.51,07144604000150,PA,FUNDO BASA DE INVESTIMENTO FINANCEIRO SELETO ''2'',PA,Pará
45908200000185,EM FUNCIONAMENTO NORMAL,2022-08-26,null,5335302.04,45908200000185,SP,BRAFIC FI EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO RESPONSABILIDADE LIMITADA,SP,São Paulo
42860984000120,EM FUNCIONAMENTO NORMAL,2021-08-30,null,9393138.14,42860984000120,SP,CONDOBLUE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,SP,São Paulo
44815107000163,EM FUNCIONAMENTO NORMAL,2022-02-15,null,22086868.99,44815107000163,RJ,ARF SANTOS DUMONT PREV FIF MULTIMERCADO CREDITO PRIVADO - RESPONSABILIDADE LIMITADA,RJ,Rio de Janeiro
49651132000172,EM FUNCIONAMENTO NORMAL,2023-02-17,null,42378672.17,49651132000172,SP,BAY HA LONG FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR,SP,São Paulo
01147641000136,EM FUNCIONAMENTO NORMAL,2005-04-04,0.1775,540731408.76,01147641000136,SP,MAPFRE SOBERANO CLASSE DE INVESTIMENTO RENDA FIXA - RESPONSABILIDADE LIMITADA,SP,São Paulo
51292131000120,EM FUNCIONAMENTO NORMAL,2023-07-04,null,106238956.49,51292131000120,SP,SPESI I FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS MULTISSETORIAL RESP LIMITADA,SP,São Paulo
44680466000150,EM FUNCIONAMENTO NORMAL,2022-02-24,null,63970359.26,44680466000150,SP,LGG INVEST FI EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO - CREDITO PRIVADO RESP LIMITADA,SP,São Paulo
19424677000185,EM FUNCIONAMENTO NORMAL,2023-02-01,2500,12195157.85,19424677000185,SP,VERUM FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,SP,São Paulo
33361923000128,EM FUNCIONAMENTO NORMAL,2019-06-18,0.065,60779613.22,33361923000128,SP,BLACKROCK GLOBAL BOND INCOME MASTER CLASSE DE INVESTIMENTO MULTIMERCADO - RESPONSABILIDADE LIMITADA,SP,São Paulo
07965741000156,EM FUNCIONAMENTO NORMAL,2006-06-27,0.7,79375338.18,07965741000156,SP,BNP PARIBAS PREMIUM MULTIMERCADO CIC DE CLASSES DE INVESTIMENTO RESPONSABILIDADE LIMITADA,SP,São Paulo
45019002000160,EM FUNCIONAMENTO NORMAL,2022-08-09,null,48112639.8,45019002000160,SP,WAY ENGELUZ FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,SP,São Paulo
42081295000118,EM FUNCIONAMENTO NORMAL,2021-06-11,0,589603423.1,42081295000118,RJ,RIZA STATHEROS MASTER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,RJ,Rio de Janeiro
14951577000193,EM FUNCIONAMENTO NORMAL,2012-05-10,1,91101461.63,14951577000193,SP,BNP PARIBAS MAPFRE RENDA FIXA ATIVO CIC DE CLASSES DE INVESTIMENTO PREVIDENCIARIA - RESP LIMITADA,SP,São Paulo
